offset,c,c#,d,d#,e,f,f#,g,g#,a,a#,b,total,tonic,is_major,numeral,chord_tonality
341.0,0.0,0.571245,0.0,0.0,0.0,0.285622,0.0,0.0,0.142704,0.0,0.0,0.0,1.0,C#,True,I,Major
343.0,0.180333,0.111,0.0,0.222167,0.0,0.0,0.1665,0.0,0.111,0.0,0.208167,0.0,1.0,C#,True,IV,Major
345.0,0.0,0.333333,0.0,0.0,0.0,0.1665,0.0,0.0,0.277667,0.0,0.222,0.0,1.0,C#,True,I,Major
347.0,0.1805,0.111,0.0,0.1665,0.0,0.0,0.208167,0.0,0.2915,0.0,0.041667,0.0,1.0,C#,True,V,Major
349.0,0.0,0.249844,0.0,0.0,0.0,0.416573,0.0,0.0,0.333208,0.0,0.0,0.0,1.0,C#,True,I,Major
351.0,0.133173,0.166567,0.0,0.133273,0.0,0.09988,0.19976,0.0,0.066587,0.0,0.19976,0.0,1.0,C#,True,V,Major
353.0,0.09988,0.19996,0.0,0.09988,0.0,0.19976,0.0,0.0,0.266547,0.0,0.133173,0.0,1.0,C#,True,I,Major
355.0,0.120333,0.185111,0.0,0.222,0.0,0.0,0.138778,0.0,0.194333,0.0,0.138778,0.0,1.0,C#,True,V,Major
357.0,0.0,0.1665,0.0,0.0,0.0,0.333,0.0,0.0,0.5,0.0,0.0,0.0,1.0,C#,True,I,Major
361.0,0.0,0.382869,0.0,0.0,0.0,0.171444,0.102815,0.0,0.274259,0.0,0.068509,0.0,1.0,C#,True,IV,Major
